name,networth,education
Chen_Jianqiang,7.8E8,Master of Business Administration
Cheng_Wai_Keung,7.55E8,University of Chicago
Cheng_Wai_Keung,7.55E8,Indiana University
Cher_Wang,8.8E9,University of California
Chey_Tae-won,4.2E9,University of Chicago
Chris_Evans_(presenter),5.0E7,University Academy Warrington
Chris_Evans_(presenter),5.0E7,Sir Thomas Boteler Church of England High School
Chris_Hohn,1.1E9,University of Southampton
Chris_Hohn,1.1E9,Harvard Business School
Chris_Rokos,1.0,University of Oxford
Chris_Rokos,1.0,Eton College
Christoffel_Wiese,5.3E9,Paarl Boys' High School
Chung_Mong-koo,6.8E9,Hanyang University
Carlos_Slim,5.3E10,Civil engineering
Chad_Hurley,3.55E8,Indiana University of Pennsylvania
Charlene_de_Carvalho-Heineken,1.34E10,Rijnlands Lyceum Foundation
Charles_Bartlett_Johnson,4.6E9,Yale University
Charles_Brandes,1.1E9,Bucknell University
Charles_Brandes,1.1E9,San Diego State University
Charles_Butt,1.08E10,University of Pennsylvania
Charles_Butt,1.08E10,Harvard Business School
Ian_Livingstone_(property_developer),2.6E9,St Paul's School London
Ian_Wood_(businessman),2.15E9,Robert Gordon's College
Idan_Ofer,4.1E9,London Business School
Idan_Ofer,4.1E9,University of Haifa
Igor_Olenicoff,3.6E9,University of Southern California
Inna,1.0E7,Ovidius University
Ioan_Niculae,1.2E9,Ștefan Gheorghiu Academy
"Irvine_Laidlaw,_Baron_Laidlaw",7.45E8,Merchiston Castle School
Robert_Englund,1.4E7,California State University Northridge
Robert_Friedland,1.8E9,Reed College
Robert_Sangster,1.1E8,Repton School
Roberto_Ongpin,6.8E8,Ateneo de Manila University
Romesh_Wadhwani,2.8E9,Carnegie Mellon University
Romesh_Wadhwani,2.8E9,Indian Institute of Technology Bombay
Ronald_S._Baron,2.0E9,Bucknell University
Ronald_S._Baron,2.0E9,George Washington University
"Ross_Perot,_Jr.",1.6E9,Vanderbilt University
Roustam_Tariko,1.9E9,INSEAD
Roustam_Tariko,1.9E9,Moscow State University of Railway Engineering
Roy_E._Disney,1.2E9,Buckley School (California)
Rupert_Hambro,1.5E8,Eton College
"Rupert_Johnson,_Jr.",6.0E9,Washington and Lee University
Russell_Weiner,2.1E9,Redwood High School (Larkspur California)
Ram_Shriram,1.89E9,University of Madras
Ramesh_Chandra,1.0E9,University of Southampton
Ramesh_Chandra,1.0E9,Indian Institute of Technology Kharagpur
Ratul_Puri,1.2E9,Carnegie Mellon University
Ray_Lee_Hunt,5.3E9,Southern Methodist University
Raymond_Kwok,1.63E10,Harvard Business School
Raymond_Kwok,1.63E10,University of Cambridge
Ricardo_Salinas_Pliego,8.0E9,Tulane University
Ricardo_Salinas_Pliego,8.0E9,Monterrey Institute of Technology and Higher Education
Richard_Livingstone_(businessman),2.6E9,St Paul's School London
"Richard_S._Fuld,_Jr.",1.0E8,University of Colorado Boulder
"Richard_S._Fuld,_Jr.",1.0E8,New York University
"Richard_S._Fuld,_Jr.",1.0E8,Master of Business Administration
Rafael_del_Pino_(businessman),5.5E9,Madrid
Rafael_del_Pino_(businessman),5.5E9,Colegio Santa María del Pilar
Rakesh_Jhunjhunwala,1.9E9,Chartered accountant
Ralph_Lauren,5.6E9,Baruch College
"Thomas_F._Frist,_Jr.",8.1E9,Washington University in St. Louis
"Thomas_F._Frist,_Jr.",8.1E9,Vanderbilt University
Thomas_H._Lee_(businessman),2.0E9,Harvard College
Thomas_Kwok,1.63E10,Imperial College London
Thomas_Kwok,1.63E10,London Business School
Thomas_Pritzker,2.9E9,Booth School of Business
Timothy_Boyle,1.71E9,University of Oregon
Tom_Benson,2.2E9,Brother Martin High School
Tom_Hanks,3.9E8,California State University Sacramento
Tom_Hanks,3.9E8,Chabot College
Tom_Love,3.9E9,St. Gregory's University
Tom_Persson,2.9E9,Met Film School
Tony_Fernandes,2.3E8,Epsom College
Tony_Fernandes,2.3E8,Alice Smith School
Tony_Ressler,1.42E9,Columbia University
Tony_Ressler,1.42E9,Georgetown University
Tony_Tan_(entrepreneur),2.6E9,Chiang Kai Shek College
Tory_Burch,1.0E9,University of Pennsylvania
Travis_Barker,8.5E7,Fontana High School
Trevor_Rees-Jones,5.2E9,Highland Park High School (University Park Texas)
Ted_Turner,2.2E9,The McCallie School
Teresa_Heinz,1.0E9,University of the Witwatersrand
Teresa_Heinz,1.0E9,University of Geneva
Frederick_R._Koch,4.0E9,Playwright
Frederick_R._Koch,4.0E9,Bachelor of Arts
Frederick_R._Koch,4.0E9,Master of Fine Arts
Frederick_R._Koch,4.0E9,Liberal arts education
Fredrik_Lundberg,1.5E9,Stockholm School of Economics
Fazle_Hasan_Abed,2.7E9,Naval architecture
"Forrest_Mars,_Jr.",2.36E10,Yale University
"Forrest_Mars,_Jr.",2.36E10,Hotchkiss School
"Forrest_Mars,_Jr.",2.36E10,New York University
"Forrest_Mars,_Sr.",4.0E9,Yale University
